email,reason,date,source
acc.go-mh@gov.in,policy_rejected,2026-06-11,zepto_mail_report
acc.jn-mh@gov.in,policy_rejected,2026-06-11,zepto_mail_report
acc.rt-mh@gov.in,policy_rejected,2026-06-11,zepto_mail_report
acc.wr-mh@gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpbandra.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpborivali.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpchembur.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpdahisar.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpdeonar.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpdindoshi.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpkherwadi.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpmulund.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acpsamtanagar.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acptrombay.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
acs.planning@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
addlfa-dod@gov.in,policy_rejected,2026-06-11,zepto_mail_report
addlsecy-mod@gov.in,policy_rejected,2026-06-11,zepto_mail_report
adg@cbi.gov.in,policy_rejected,2026-06-11,zepto_mail_report
adipol@cbi.gov.in,policy_rejected,2026-06-11,zepto_mail_report
aigp2@cbi.gov.in,policy_rejected,2026-06-11,zepto_mail_report
akanksha.singh@sfio.nic.in,policy_rejected,2026-06-11,zepto_mail_report
anant.kumar43@gov.in,policy_rejected,2026-06-11,zepto_mail_report
anil.desai@sansad.nic.in,policy_rejected,2026-06-11,zepto_mail_report
anupam.85@sfio.nic.in,policy_rejected,2026-06-11,zepto_mail_report
arun.meganathan@gov.in,policy_rejected,2026-06-11,zepto_mail_report
ashishd.c081601@gov.in,policy_rejected,2026-06-11,zepto_mail_report
asp.ahmednagar.anr@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
aspamravati.amr@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cbrceltvm.pol@kerala.gov.in,policy_rejected,2026-06-11,zepto_mail_report
ccps@kar.nic.in,policy_rejected,2026-06-11,zepto_mail_report
ceozp.beed@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
chiefminister@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
chiefsecretary@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cm@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector-dnh@ddd.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.bhandara@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.dhule@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.gondia@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.jalna@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.latur@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.nagpur@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.nashik@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.osmanabad@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.parbhani@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.pune@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector.raigad@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector_akola@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collector_nandurbar@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collectoramravati@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collectorchandrapur@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
collectorsatara@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
computer.cid@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cp.mumbai@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cp.thane.online@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cpc-bom@aij.gov.in,policy_rejected,2026-06-11,zepto_mail_report
ctcivilcourtdinsc@indianjudiciary.gov.in,policy_rejected,2026-06-11,zepto_mail_report
ctcourt-mum@nic.in,policy_rejected,2026-06-11,zepto_mail_report
cyber-range-ahd@gujarat.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cybercell-shahdara@delhipolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cybercell.navimumbai@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
cyberpst-mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dcfsl@cbi.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dcm@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dcpitnorth-mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dcppreventive-mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dcpsb1.mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dcpstfeow-mum@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk1.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk10.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk11.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk11a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk12.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk13.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk14.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk14a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk15.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk16.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk16a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk1a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk2.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk2a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk3.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk3a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk4.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk5.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk6.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk8.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk8a.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
desk9.dgoffice@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
digsudel@cbi.gov.in,policy_rejected,2026-06-11,zepto_mail_report
digtrg@cbi.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dir-ecourts-doj@gov.in,policy_rejected,2026-06-11,zepto_mail_report
diradm.dpr-mod@gov.in,policy_rejected,2026-06-11,zepto_mail_report
director@sfio.nic.in,policy_rejected,2026-06-11,zepto_mail_report
dirj1-doj@gov.in,policy_rejected,2026-06-11,zepto_mail_report
dj-dnh@ddd.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dj.gondia-mah@aij.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dycc.jg-mh@gov.in,policy_rejected,2026-06-11,zepto_mail_report
dycc.sn-mh@gov.in,policy_rejected,2026-06-11,zepto_mail_report
dyceog.yavatmal@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dyceogad.gadchiroli@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dyceogad.satara@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dysec1.revenue@maharashtra.gov.in,policy_rejected,2026-06-11,zepto_mail_report
dysphq.buld@mahapolice.gov.in,policy_rejected,2026-06-11,zepto_mail_report
el.khawlhring@gov.in,policy_rejected,2026-06-11,zepto_mail_report
fc-nashik@bhc.gov.in,policy_rejected,2026-06-11,zepto_mail_report
fc-parbhani@bhc.gov.in,policy_rejected,2026-06-11,zepto_mail_report
