email,name,designation,category,tags,case,source,mobile,reject_reason
acbwebmail@mahapolice.gov.in,ANTI-CORRUPTION BUREAU,Anti-Corruption Bureau Maharashtra — General Intake (DG: Shri Sanjeev Kumar Singhal IPS),Police/Government,anti-corruption|govt-state|police-hq|police-special|top-priority,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
addlcpacbmumbai@mahapolice.gov.in,ANTI-CORRUPTION BUREAU,"Additional Commissioner of Police, ACB Mumbai (Shri Sandip Diwan / Shri Rajendra G. Sangale / Shri Anil T. Gheradikar)",Police/Government,anti-corruption|govt-state|mumbai-press|police-hq|police-special|top-priority,tarun-thadani,tarun-thadani/Santosh_2.mbm,,user_not_found
adg.policy@mahapolice.gov.in,7,"Additional Director General of Police, Policy, Mumbai",Police/Government,dgp-desk|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
collector.bhandara@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.dhule@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.gondia@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.jalna@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.latur@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.nagpur@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.nashik@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.osmanabad@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.parbhani@maharashtra.gov.in,PARBHANI,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.pune@maharashtra.gov.in,"gov.in,",,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector.raigad@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector_akola@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collector_nandurbar@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collectoramravati@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collectorchandrapur@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
collectorsatara@maharashtra.gov.in,COLLECTOR,,Police/Government,govt-admin|govt-state|land-records|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
ctcourt-mum@nic.in,ISDN,"Registrar, City Civil & Sessions Court, Fort, Mumbai",Police/Government,court-sessions|govt-state|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
cyberpst-mum@mahapolice.gov.in,cyberpst-mum,"Cyber Crime Police Station, Mumbai (ACP Irfan Sheikh)",Police/Government,crime-court-beat|cyber-crime|govt-state|mumbai-press|police-hq|police-special|police-zone|top-priority,tarun-thadani,tarun-thadani/Santosh_2.mbm,,policy_rejected
hcbom.mah@nic.in,E-MAIL,"Registrar General, Bombay High Court",Police/Government,court-high|govt-state|high-court-beat|mumbai-press|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
ig.amravatirange@mahapolice.gov.in,1,,Police/Government,govt-state|police-hq|top-priority,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
adg.cidcrime.pune@mahapolice.gov.in,adg.cidcrime.pune,,Government,crime-court-beat|govt-state|police-hq|top-priority,tarun-thadani,tarun-thadani/Indian_Ministers.mbm,,user_not_found
computer.cid@mahapolice.gov.in,computer.cid,"CID Maharashtra (ADGP Sunil Ramanand), State HQ Pune",Government,dgp-desk|govt-state|police-hq|top-priority,tarun-thadani,tarun-thadani/Indian_Ministers.mbm,,policy_rejected
cp.mumbai@mahapolice.gov.in,19,"Commissioner of Police, Brihan Mumbai",Government,govt-state|mumbai-press|police-hq|top-priority|district-police|crime-beat|maharashtra,tarun-thadani,tarun-thadani/Indian_Ministers.mbm,022-22621855,policy_rejected
-assignment@aajtak.com,INDIA,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
-assignment@f7broadcast.com,NEWS,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,dead_domain
-assignment@gmail.com,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
-ibn7assignment@network18online.com,NEWS18,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
-icnassignment@network18online.com,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
-mail@indiatvnews.com,INDIA,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,policy_rejected
-mpamarsable@gmail.com,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
-tanseem.haider@aajtak.com,AAJ,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
a.gupta@jharkhandpolice.gov.in,Cyber Cell,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all.mbm,,user_not_found
a.ugle@nic.in,12,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
aaga@thermaxindia.com,aaga,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
aaoacc.rb-mh@nic.in,3,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc.ga-mh@gov.in,E-mail,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc.go-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
acc.hi-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc.jn-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
acc.nb-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
acc.rt-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,policy_rejected
acc.st-mh@gov.in,,,Police/Government,govt-state|police-hq,tarun-thadani,tarun-thadani/Santosh_all_1.mbm,,user_not_found
